,评论,分类
0,啊啊啊啊啊啊我最喜欢的化妆品牌和我最喜欢的游戏终于实体合作了！！！本秀姐一定要拥有。雕花太美了用起来好心疼我杀我自己 颜色非常美貌，无色差无偏色。包装是去年西湖套装一样的金绿渐变色，上嘴润滑颜色饱满。和以前的质量感觉更好了（也可能是我对新东西的偏爱滤镜hhhhh）,颜色分类:【剑网3比翼相思联名】 M122 相思绣
1,此用户没有填写评论!,颜色分类:M406檀心绣（豆沙色）
2,"不得不说花西子的颜值真的深爱了,每一款都是恰到好处的美,必须是国货之光啊,很湿润上色效果也超级棒，这款的雕花真的是精致到不行啊",颜色分类:M121凤鸾绣（经典正红色）
3,整体评价：薄涂素颜也很提升气色，厚涂化妆应该更好看得 保湿效果：试涂了一下不干的，也不容易掉色，比较持久 实物颜色：是红棕色，口红包装也很好看，口红合上是磁吸的，很方便,颜色分类:M122绛仙绣（红棕焦糖）
4,整体评价：很满意 保湿效果：很保湿奈斯！ 唇膏质地：细腻柔滑雾面质感 上嘴效果：第一次拍正面照做评价😁老公的结婚纪念日礼物很满意！,颜色分类:M123伯牙绣（宝石樱红）
5,花西子口红，非常的漂亮，它有精美的雕刻工艺，颜色抹出来非常的漂亮，润润的感觉,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
6,非常精美啦！到货也很快！果然都是剑三门派图标我爱了，收藏收藏！如果过两天忍不住用了就再买一根收藏用呜呜呜,颜色分类:【剑网3比翼相思联名】 M122 相思绣
7,花西子的口红颜色偏暗，很润，有些沾杯，但是颜色好看，雕花精致，涂上很舒服，包装高大上，居然还放了冰袋。价格亲民，支持国产。,颜色分类:M119湘妃绣（胡萝卜色）
8,感觉很赞，口红上的浮雕很好看，盖子还带有磁性，很不错。性价比很高，值得推荐,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
9,从收到包裹就感觉很惊艳了，口红还专门配了冷温袋，太贴心了，打开以后惊艳到了，盒子比想像中的还要好看，粉质很细致，口红的雕花也是非常重工，国货越来越牛了，还会回购,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
10,商家非常贴心 一支口红单独打包还加了冰袋，还送了小赠品 非常非常贴心 ，一如既往地支持花西子！大  爱口红颜色特别正 各种好呀 美美的,颜色分类:M116彤心绣（烂番茄色）
11,备孕期，基本不用化妆品，冲着剑三联名买的。以前口红香奶奶杨树林买的多，第一次国货有被惊艳到！虽然暂时不用，仅做收藏也非常值，雕花非常细致清晰，找了一圈就找到我们小团体所有人的门派了，开心！,颜色分类:【剑网3比翼相思联名】 M122 相思绣
12,快递中附送冰袋，包装精美，浮雕太好看了！还有淡淡的香味。美！爱了爱了,颜色分类:M116彤心绣（烂番茄色）
13,给媳妇准备的七夕礼物还没告诉她准备给她惊喜，整体包装来讲就比较讲究，想来口红💄质感肯定也很好虽然我没打开看。 总体来说很满意 一分钱一分货值了！,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
14,愉快的购物 yo 妈**快乐 yo 自己的满意 yo 爸爸的夸赞 yo 店铺的热情 yo 网购的完美,颜色分类:M122绛仙绣（红棕焦糖）
15,哇塞！这么快就到了！这个颜值！口红里的花雕好精细啊！用起来也很润！这么有心意有特点的国产品牌一定得支持起来！,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
16,很好看，花雕很细致，颜色也很正，我很喜欢真的超级喜欢,颜色分类:M121凤鸾绣（经典正红色）
17,好看 跟描述相符就是不舍得涂呜呜呜呜,颜色分类:【剑网3比翼相思联名】 M122 相思绣
18,超棒，爱*了，外观漂亮，膏体有花纹，是我爱的颜色，喜欢的姐妹们不用犹豫咯,颜色分类:M602西子绣（半哑偏润草莓色）
19,挺好看的，包装盒也很美，就是一只小小的口红装在那么大的盒子里觉得有点奢侈，哈哈，但是很开心，送闺蜜的，质感也很好，口红的颜色和闺蜜也挺搭的，只是还没来得及送她,颜色分类:M602西子绣（半哑偏润草莓色）
20,收到口红就是断的到了冰袋也化了，客服给退了十块钱，今天从冰箱拿出来涂发现上嘴的时候膏体动一动的，这岂不是一使劲就全断了，119的口红这样，要买的姐妹请慎重,颜色分类:M116彤心绣（烂番茄色）
21,3天就到了，物流很给力呀，怕天气高温快递里面还放有物理冰袋，很好,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
22,爱了爱了，看上去颜色有点重，用到唇上非常漂亮，滋润度也持久，看中的宝贝可以下手了,颜色分类:M116彤心绣（烂番茄色）
23,这个色号是他们家新出的    还有一款豆沙色的   也是同时间上市的   但我个人比较喜欢大红色  因为皮肤不是很白  这个颜色正好弥补我的不足  涂出来效果很大牌 不亚于999  口红很精致  有雕花的设计 立体感十足 让人都舍不得涂  盖子好像是那种磁吸的,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
24,整体评价：非常的好！,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
25,一只口红💄不管从包装还是做功都做的如此精致，很满意，以后还会继续支持的。,颜色分类:M119湘妃绣（胡萝卜色）
26,非常喜欢这个雕花口红，蜜粉用起来也很细，遮瑕效果比较好，包装也挺完美。,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
27,保湿效果：比较滋润，颜色很喜欢，显得有气质,颜色分类:M117红鸾绣（正红色）
28,之前一直想买花雕工艺品，奈何一直没有机会（钱），这次活动正好就买了。确实不仅仅是工艺品，更是好用的产品，没想到颜色这么好，是红棕但不厚重，知性不*板，以前无知的以为红棕只适合秋冬，事实122也可以夏天涂。相比A牌206更多了一点番茄红，挺活泼的。膏体也润而不油，挺好的！唯一的缺点就是少点没有用的卡纸，挺费钱的，也不环保。。。总之，🌸冲鸭！！！,颜色分类:【剑网3比翼相思联名】 M122 相思绣
